Location,TimeFrame,MEDICAID_CNT
Lewis,2016,2313
Lewis,2017,2306
Lewis,2018,2105
Lewis,2019,2069
Lincoln,2014,3964
Lincoln,2015,3702
Lincoln,2016,4113
Lincoln,2017,3909
Lincoln,2018,3648
Lincoln,2019,3519
Livingston,2014,1171
Livingston,2015,1035
Livingston,2016,1190
Livingston,2017,1258
Livingston,2018,1117
Livingston,2019,1015
Logan,2014,3555
Logan,2015,3453
Logan,2016,3693
Logan,2017,3706
Logan,2018,3448
Logan,2019,3253
Lyon,2014,752
Lyon,2015,687
Lyon,2016,730
Lyon,2017,733
Lyon,2018,676
Lyon,2019,648
McCracken,2014,7883
McCracken,2015,7953
McCracken,2016,8809
McCracken,2017,8791
McCracken,2018,7975
McCracken,2019,7785
McCreary,2014,3498
McCreary,2015,3406
McCreary,2016,3673
McCreary,2017,3474
McCreary,2018,3156
McCreary,2019,3119
McLean,2014,1244
McLean,2015,1166
McLean,2016,1267
McLean,2017,1261
McLean,2018,1125
McLean,2019,1098
Madison,2014,9911
Madison,2015,9548
Madison,2016,10269
Madison,2017,10089
Madison,2018,9471
Madison,2019,9325
Magoffin,2014,2575
Magoffin,2015,2539
Magoffin,2016,2629
Magoffin,2017,2447
Magoffin,2018,2204
Magoffin,2019,2107
Marion,2014,2646
Marion,2015,2557
Marion,2016,2675
Marion,2017,2670
Marion,2018,2496
Marion,2019,2346
Marshall,2014,3208
Marshall,2015,3166
Marshall,2016,3578
Marshall,2017,3517
Marshall,2018,3261
Marshall,2019,3159
Martin,2014,2281
Martin,2015,2214
Martin,2016,2270
Martin,2017,2152
Martin,2018,1888
Martin,2019,1820
Mason,2014,2588
Mason,2015,2518
Mason,2016,2765
Mason,2017,2541
Mason,2018,2367
Mason,2019,2287
Meade,2014,3373
Meade,2015,3223
Meade,2016,3482
Meade,2017,3428
Meade,2018,3188
Meade,2019,2931
Menifee,2014,1174
Menifee,2015,1130
Menifee,2016,1250
Menifee,2017,1187
Menifee,2018,1151
Menifee,2019,1127
Mercer,2014,2710
Mercer,2015,2554
Mercer,2016,2742
Mercer,2017,2664
Mercer,2018,2445
