Location,TimeFrame,COLLEGE_GRAD_PCT
Harlan,2012-2013,0.5
Harlan,2013-2014,0.53
Harlan,2014-2015,0.69
Harlan,2015-2016,0.64
Harlan,2016-2017,0.71
Harlan,2017-2018,0.47
Harrison,2011-2012,0.51
Harrison,2012-2013,0.47
Harrison,2013-2014,0.6
Harrison,2014-2015,0.61
Harrison,2015-2016,0.46
Harrison,2016-2017,0.6
Harrison,2017-2018,0.5
Hart,2011-2012,0.43
Hart,2012-2013,0.37
Hart,2013-2014,0.38
Hart,2014-2015,0.4
Hart,2015-2016,0.38
Hart,2016-2017,0.36
Hart,2017-2018,0.3
Henderson,2011-2012,0.54
Henderson,2012-2013,0.55
Henderson,2013-2014,0.49
Henderson,2014-2015,0.6
Henderson,2015-2016,0.57
Henderson,2016-2017,0.52
Henderson,2017-2018,0.62
Henry,2011-2012,0.55
Henry,2012-2013,0.5
Henry,2013-2014,0.36
Henry,2014-2015,0.59
Henry,2015-2016,0.57
Henry,2016-2017,0.55
Henry,2017-2018,0.47
Hickman,2011-2012,0.58
Hickman,2012-2013,0.54
Hickman,2013-2014,0.38
Hickman,2014-2015,0.45
Hickman,2015-2016,0.5
Hickman,2016-2017,0.71
Hickman,2017-2018,0.79
Hopkins,2011-2012,0.58
Hopkins,2012-2013,0.49
Hopkins,2013-2014,0.59
Hopkins,2014-2015,0.6
Hopkins,2015-2016,0.62
Hopkins,2016-2017,0.54
Hopkins,2017-2018,0.57
Jackson,2011-2012,0.33
Jackson,2012-2013,0.44
Jackson,2013-2014,0.36
Jackson,2014-2015,0.5
Jackson,2015-2016,0.65
Jackson,2016-2017,0.5
Jackson,2017-2018,0.42
Jefferson,2011-2012,0.53
Jefferson,2012-2013,0.53
Jefferson,2013-2014,0.53
Jefferson,2014-2015,0.54
Jefferson,2015-2016,0.55
Jefferson,2016-2017,0.54
Jefferson,2017-2018,0.57
Jessamine,2011-2012,0.49
Jessamine,2012-2013,0.57
Jessamine,2013-2014,0.56
Jessamine,2014-2015,0.57
Jessamine,2015-2016,0.54
Jessamine,2016-2017,0.6
Jessamine,2017-2018,0.56
Johnson,2011-2012,0.63
Johnson,2012-2013,0.54
Johnson,2013-2014,0.45
Johnson,2014-2015,0.52
Johnson,2015-2016,0.7
Johnson,2016-2017,0.52
Johnson,2017-2018,0.56
Kenton,2011-2012,0.52
Kenton,2012-2013,0.48
Kenton,2013-2014,0.51
Kenton,2014-2015,0.54
Kenton,2015-2016,0.56
Kenton,2016-2017,0.48
Kenton,2017-2018,0.55
Knott,2011-2012,0.45
Knott,2012-2013,0.67
Knott,2013-2014,0.35
Knott,2014-2015,0.29
Knott,2015-2016,0.55
Knott,2016-2017,0.65
Knott,2017-2018,0.67
Knox,2011-2012,0.25
Knox,2012-2013,0.38
Knox,2013-2014,0.63
Knox,2014-2015,0.5
Knox,2015-2016,0.43
Knox,2016-2017,0.4
Knox,2017-2018,0.56
Larue,2011-2012,0.72
Larue,2012-2013,0.44
Larue,2013-2014,0.57
Larue,2014-2015,0.56
Larue,2015-2016,0.65
Larue,2016-2017,0.78
Larue,2017-2018,0.69
