Location,Age group,TimeFrame,CHILD_POP_CNT,,
Hardin,0-17,2014,27144,,
Hardin,0-17,2015,26333,,
Hardin,0-17,2016,26465,,
Hardin,0-17,2017,26586,,
Harlan,0-17,2011,6617,,
Harlan,0-17,2012,6517,,
Harlan,0-17,2013,6414,,
Harlan,0-17,2014,6404,,
Harlan,0-17,2015,6269,,
Harlan,0-17,2016,6076,,
Harlan,0-17,2017,6064,,
Harrison,0-17,2011,4451,,
Harrison,0-17,2012,4360,,
Harrison,0-17,2013,4238,,
Harrison,0-17,2014,4323,,
Harrison,0-17,2015,4369,,
Harrison,0-17,2016,4297,,
Harrison,0-17,2017,4327,,
Hart,0-17,2011,4470,,
Hart,0-17,2012,4422,,
Hart,0-17,2013,4567,,
Hart,0-17,2014,4531,,
Hart,0-17,2015,4427,,
Hart,0-17,2016,4463,,
Hart,0-17,2017,4630,,
Henderson,0-17,2011,10852,,
Henderson,0-17,2012,10934,,
Henderson,0-17,2013,10809,,
Henderson,0-17,2014,10876,,
Henderson,0-17,2015,10857,,
Henderson,0-17,2016,10798,,
Henderson,0-17,2017,10687,,
Henry,0-17,2011,3780,,
Henry,0-17,2012,3702,,
Henry,0-17,2013,3725,,
Henry,0-17,2014,3721,,
Henry,0-17,2015,3707,,
Henry,0-17,2016,3735,,
Henry,0-17,2017,3780,,
Hickman,0-17,2011,1005,,
Hickman,0-17,2012,958,,
Hickman,0-17,2013,944,,
Hickman,0-17,2014,939,,
Hickman,0-17,2015,900,,
Hickman,0-17,2016,921,,
Hickman,0-17,2017,903,,
Hopkins,0-17,2011,10805,,
Hopkins,0-17,2012,10731,,
Hopkins,0-17,2013,10651,,
Hopkins,0-17,2014,10574,,
Hopkins,0-17,2015,10477,,
Hopkins,0-17,2016,10532,,
Hopkins,0-17,2017,10450,,
Jackson,0-17,2011,3107,,
Jackson,0-17,2012,3074,,
Jackson,0-17,2013,3034,,
Jackson,0-17,2014,2964,,
Jackson,0-17,2015,3019,,
Jackson,0-17,2016,3009,,
Jackson,0-17,2017,3088,,
Jefferson,0-17,2011,172038,,
Jefferson,0-17,2012,172289,,
Jefferson,0-17,2013,172744,,
Jefferson,0-17,2014,172157,,
Jefferson,0-17,2015,171811,,
Jefferson,0-17,2016,171635,,
Jefferson,0-17,2017,171882,,
