Location,TimeFrame,LOW_BIRTH_WEIGHT_PCT
Daviess,2012-2014,0.08
Daviess,2013-2015,0.073
Daviess,2014-2016,0.07512
Daviess,2015-2017,0.078
Daviess,2016-2018,0.081
Edmonson,2008-2010,0.09
Edmonson,2009-2011,0.079
Edmonson,2010-2012,0.08
Edmonson,2011-2013,0.07
Edmonson,2012-2014,0.074
Edmonson,2013-2015,0.065
Edmonson,2014-2016,0.07331
Edmonson,2015-2017,0.074
Edmonson,2016-2018,0.07
Elliott,2008-2010,0.119
Elliott,2009-2011,0.138
Elliott,2010-2012,0.124
Elliott,2011-2013,0.109
Elliott,2012-2014,0.093
Elliott,2013-2015,0.104
Elliott,2014-2016,0.10044
Elliott,2015-2017,0.099
Elliott,2016-2018,0.115
Estill,2008-2010,0.086
Estill,2009-2011,0.091
Estill,2010-2012,0.088
Estill,2011-2013,0.099
Estill,2012-2014,0.085
Estill,2013-2015,0.091
Estill,2014-2016,0.06987
Estill,2015-2017,0.079
Estill,2016-2018,0.09
Fayette,2008-2010,0.086
Fayette,2009-2011,0.089
Fayette,2010-2012,0.086
Fayette,2011-2013,0.084
Fayette,2012-2014,0.084
Fayette,2013-2015,0.083
Fayette,2014-2016,0.0852
Fayette,2015-2017,0.083
Fayette,2016-2018,0.088
Fleming,2008-2010,0.08
Fleming,2009-2011,0.087
Fleming,2010-2012,0.096
Fleming,2011-2013,0.092
Fleming,2012-2014,0.107
Fleming,2013-2015,0.082
Fleming,2014-2016,0.07231
Fleming,2015-2017,0.055
Fleming,2016-2018,0.068
Floyd,2008-2010,0.115
Floyd,2009-2011,0.123
Floyd,2010-2012,0.115
Floyd,2011-2013,0.113
Floyd,2012-2014,0.103
Floyd,2013-2015,0.105
Floyd,2014-2016,0.09971
Floyd,2015-2017,0.102
Floyd,2016-2018,0.109
Franklin,2008-2010,0.112
Franklin,2009-2011,0.109
Franklin,2010-2012,0.102
Franklin,2011-2013,0.101
Franklin,2012-2014,0.1
Franklin,2013-2015,0.098
Franklin,2014-2016,0.09538
Franklin,2015-2017,0.094
Franklin,2016-2018,0.1
Fulton,2008-2010,0.114
Fulton,2009-2011,0.096
Fulton,2010-2012,0.088
Fulton,2011-2013,0.103
Fulton,2012-2014,0.111
Fulton,2013-2015,0.099
Fulton,2014-2016,0.10549
Fulton,2015-2017,0.105
Fulton,2016-2018,0.105
Gallatin,2008-2010,0.094
Gallatin,2009-2011,0.122
Gallatin,2010-2012,0.095
Gallatin,2011-2013,0.104
Gallatin,2012-2014,0.089
Gallatin,2013-2015,0.098
Gallatin,2014-2016,0.09009
Gallatin,2015-2017,0.082
Gallatin,2016-2018,0.094
Garrard,2008-2010,0.122
Garrard,2009-2011,0.112
Garrard,2010-2012,0.102
Garrard,2011-2013,0.108
Garrard,2012-2014,0.1
Garrard,2013-2015,0.1
Garrard,2014-2016,0.09773
Garrard,2015-2017,0.097
Garrard,2016-2018,0.098
Grant,2008-2010,0.095
Grant,2009-2011,0.093
Grant,2010-2012,0.083
Grant,2011-2013,0.072
Grant,2012-2014,0.07
Grant,2013-2015,0.081
Grant,2014-2016,0.0788
Grant,2015-2017,0.094
Grant,2016-2018,0.094
Graves,2008-2010,0.081
Graves,2009-2011,0.076
Graves,2010-2012,0.067
Graves,2011-2013,0.066
Graves,2012-2014,0.067
Graves,2013-2015,0.067
Graves,2014-2016,0.07283
Graves,2015-2017,0.076
Graves,2016-2018,0.084
Grayson,2008-2010,0.076
Grayson,2009-2011,0.075
Grayson,2010-2012,0.078
Grayson,2011-2013,0.086
Grayson,2012-2014,0.081
Grayson,2013-2015,0.09
Grayson,2014-2016,0.09201
Grayson,2015-2017,0.092
Grayson,2016-2018,0.078
Green,2008-2010,0.07
Green,2009-2011,0.075
Green,2010-2012,0.078
Green,2011-2013,0.079
Green,2012-2014,0.081
Green,2013-2015,0.078
Green,2014-2016,0.08857
Green,2015-2017,0.08
Green,2016-2018,0.085
Greenup,2008-2010,0.085
Greenup,2009-2011,0.083
Greenup,2010-2012,0.09
Greenup,2011-2013,0.095
Greenup,2012-2014,0.095
Greenup,2013-2015,0.083
Greenup,2014-2016,0.07018
Greenup,2015-2017,0.075
Greenup,2016-2018,0.088
Hancock,2008-2010,0.093
Hancock,2009-2011,0.08
Hancock,2010-2012,0.081
Hancock,2011-2013,0.073
Hancock,2012-2014,0.076
Hancock,2013-2015,0.076
Hancock,2014-2016,0.07629
Hancock,2015-2017,0.07
Hancock,2016-2018,0.07
Hardin,2008-2010,0.07
Hardin,2009-2011,0.073
Hardin,2010-2012,0.075
Hardin,2011-2013,0.076
Hardin,2012-2014,0.07
Hardin,2013-2015,0.075
Hardin,2014-2016,0.08048
Hardin,2015-2017,0.082
Hardin,2016-2018,0.079
Harlan,2008-2010,0.124
Harlan,2009-2011,0.113
Harlan,2010-2012,0.113
Harlan,2011-2013,0.113
Harlan,2012-2014,0.1
Harlan,2013-2015,0.108
Harlan,2014-2016,0.10009
Harlan,2015-2017,0.114
Harlan,2016-2018,0.107
Harrison,2008-2010,0.107
Harrison,2009-2011,0.111
Harrison,2010-2012,0.105
Harrison,2011-2013,0.103
Harrison,2012-2014,0.085
Harrison,2013-2015,0.074
Harrison,2014-2016,0.07576
Harrison,2015-2017,0.08
Harrison,2016-2018,0.082
Hart,2008-2010,0.086
Hart,2009-2011,0.092
Hart,2010-2012,0.084
Hart,2011-2013,0.088
Hart,2012-2014,0.076
Hart,2013-2015,0.074
Hart,2014-2016,0.08323
Hart,2015-2017,0.083
Hart,2016-2018,0.082
Henderson,2008-2010,0.104
Henderson,2009-2011,0.104
Henderson,2010-2012,0.093
Henderson,2011-2013,0.094
Henderson,2012-2014,0.092
Henderson,2013-2015,0.102
Henderson,2014-2016,0.11043
Henderson,2015-2017,0.11
Henderson,2016-2018,0.114
Henry,2008-2010,0.063
Henry,2009-2011,0.075
Henry,2010-2012,0.066
Henry,2011-2013,0.079
Henry,2012-2014,0.062
Henry,2013-2015,0.077
Henry,2014-2016,0.07782
Henry,2015-2017,0.094
Henry,2016-2018,0.093
Hickman,2008-2010,0.081
Hickman,2009-2011,0.088
Hickman,2010-2012,0.084
Hickman,2011-2013,0.075
Hickman,2012-2014,0.068
Hickman,2013-2015,0.082
Hickman,2014-2016,0.07576
Hickman,2015-2017,0.09
Hickman,2016-2018,0.083
Hopkins,2008-2010,0.097
Hopkins,2009-2011,0.093
Hopkins,2010-2012,0.085
Hopkins,2011-2013,0.086
Hopkins,2012-2014,0.085
Hopkins,2013-2015,0.085
Hopkins,2014-2016,0.08561
Hopkins,2015-2017,0.081
Hopkins,2016-2018,0.078
Jackson,2008-2010,0.101
Jackson,2009-2011,0.099
Jackson,2010-2012,0.101
Jackson,2011-2013,0.095
Jackson,2012-2014,0.101
Jackson,2013-2015,0.113
Jackson,2014-2016,0.10212
Jackson,2015-2017,0.101
Jackson,2016-2018,0.085
Jefferson,2008-2010,0.094
Jefferson,2009-2011,0.092
Jefferson,2010-2012,0.091
Jefferson,2011-2013,0.09
Jefferson,2012-2014,0.09
Jefferson,2013-2015,0.09
Jefferson,2014-2016,0.09306
Jefferson,2015-2017,0.093
Jefferson,2016-2018,0.094
Jessamine,2008-2010,0.078
Jessamine,2009-2011,0.079
Jessamine,2010-2012,0.067
Jessamine,2011-2013,0.065
Jessamine,2012-2014,0.076
Jessamine,2013-2015,0.085
Jessamine,2014-2016,0.09258
Jessamine,2015-2017,0.094
Jessamine,2016-2018,0.094
Johnson,2008-2010,0.114
Johnson,2009-2011,0.114
Johnson,2010-2012,0.11
Johnson,2011-2013,0.105
Johnson,2012-2014,0.107
Johnson,2013-2015,0.106
Johnson,2014-2016,0.09824
Johnson,2015-2017,0.096
Johnson,2016-2018,0.09
Kenton,2008-2010,0.085
Kenton,2009-2011,0.08
Kenton,2010-2012,0.081
Kenton,2011-2013,0.081
Kenton,2012-2014,0.087
Kenton,2013-2015,0.086
Kenton,2014-2016,0.08834
Kenton,2015-2017,0.091
Kenton,2016-2018,0.086
Knott,2008-2010,0.121
Knott,2009-2011,0.089
Knott,2010-2012,0.104
Knott,2011-2013,0.108
Knott,2012-2014,0.127
Knott,2013-2015,0.111
Knott,2014-2016,0.09263
Knott,2015-2017,0.079
Knott,2016-2018,0.086
Knox,2008-2010,0.091
Knox,2009-2011,0.089
Knox,2010-2012,0.097
Knox,2011-2013,0.097
Knox,2012-2014,0.098
Knox,2013-2015,0.102
Knox,2014-2016,0.10843
Knox,2015-2017,0.114
Knox,2016-2018,0.118
Larue,2008-2010,0.063
Larue,2009-2011,0.048
Larue,2010-2012,0.046
Larue,2011-2013,0.057
Larue,2012-2014,0.062
Larue,2013-2015,0.068
Larue,2014-2016,0.07775
Larue,2015-2017,0.104
Larue,2016-2018,0.111
Laurel,2008-2010,0.089
Laurel,2009-2011,0.085
Laurel,2010-2012,0.09
Laurel,2011-2013,0.091
Laurel,2012-2014,0.098
Laurel,2013-2015,0.092
Laurel,2014-2016,0.0863
Laurel,2015-2017,0.078
Laurel,2016-2018,0.076
Lawrence,2008-2010,0.172
Lawrence,2009-2011,0.146
Lawrence,2010-2012,0.14
Lawrence,2011-2013,0.133
Lawrence,2012-2014,0.13
Lawrence,2013-2015,0.103
Lawrence,2014-2016,0.09756
Lawrence,2015-2017,0.083
Lawrence,2016-2018,0.093
Lee,2008-2010,0.142
Lee,2009-2011,0.135
Lee,2010-2012,0.126
Lee,2011-2013,0.155
Lee,2012-2014,0.135
Lee,2013-2015,0.122
Lee,2014-2016,0.0812
Lee,2015-2017,0.082
Lee,2016-2018,0.063
Leslie,2008-2010,0.096
Leslie,2009-2011,0.102
Leslie,2010-2012,0.113
Leslie,2011-2013,0.122
Leslie,2012-2014,0.134
Leslie,2013-2015,0.119
Leslie,2014-2016,0.10606
Leslie,2015-2017,0.099
Leslie,2016-2018,0.114
Letcher,2008-2010,0.107
Letcher,2009-2011,0.094
Letcher,2010-2012,0.099
Letcher,2011-2013,0.114
Letcher,2012-2014,0.125
Letcher,2013-2015,0.125
Letcher,2014-2016,0.11815
Letcher,2015-2017,0.109
Letcher,2016-2018,0.112
Lewis,2008-2010,0.116
Lewis,2009-2011,0.116
