Location,TimeFrame,CHILD_SUPPORT_COLLECT_PCT
Carlisle,2001,0.57
Carlisle,2002,0.51
Carlisle,2003,0.52
Carlisle,2004,0.54
Carlisle,2005,0.56
Carlisle,2006,0.6
Carlisle,2007,0.6
Carlisle,2008,0.62
Carlisle,2009,0.6
Carlisle,2010,0.59
Carlisle,2011,0.62
Carlisle,2012,0.57
Carlisle,2013,0.54
Carlisle,2014,0.55
Carlisle,2015,0.55
Carlisle,2016,0.52
Carlisle,2017,0.51
Carlisle,2018,0.53
Carlisle,2019,0.5
Carroll,2000,0.57
Carroll,2001,0.56
Carroll,2002,0.57
Carroll,2003,0.6
Carroll,2004,0.59
Carroll,2005,0.6
Carroll,2006,0.62
Carroll,2007,0.63
Carroll,2008,0.63
Carroll,2009,0.63
Carroll,2010,0.63
Carroll,2011,0.62
Carroll,2012,0.61
Carroll,2013,0.59
Carroll,2014,0.59
Carroll,2015,0.57
Carroll,2016,0.58
Carroll,2017,0.54
Carroll,2018,0.56
Carroll,2019,0.59
Carter,2000,0.52
Carter,2001,0.55
Carter,2002,0.5
Carter,2003,0.52
Carter,2004,0.52
Carter,2005,0.55
Carter,2006,0.55
Carter,2007,0.53
Carter,2008,0.53
Carter,2009,0.54
Carter,2010,0.55
Carter,2011,0.52
Carter,2012,0.52
Carter,2013,0.54
Carter,2014,0.54
Carter,2015,0.57
Carter,2016,0.57
Carter,2017,0.58
Carter,2018,0.61
Carter,2019,0.61
Casey,2000,0.5
Casey,2001,0.5
Casey,2002,0.52
Casey,2003,0.58
Casey,2004,0.59
Casey,2005,0.6
Casey,2006,0.61
Casey,2007,0.61
Casey,2008,0.62
Casey,2009,0.61
Casey,2010,0.62
Casey,2011,0.6
Casey,2012,0.59
Casey,2013,0.6
Casey,2014,0.6
Casey,2015,0.58
Casey,2016,0.57
Casey,2017,0.55
Casey,2018,0.57
Casey,2019,0.53
Christian,2000,0.68
Christian,2001,0.65
Christian,2002,0.6
Christian,2003,0.61
Christian,2004,0.63
Christian,2005,0.63
Christian,2006,0.65
Christian,2007,0.65
Christian,2008,0.64
Christian,2009,0.63
Christian,2010,0.65
Christian,2011,0.68
Christian,2012,0.68
Christian,2013,0.67
Christian,2014,0.67
Christian,2015,0.67
Christian,2016,0.69
Christian,2017,0.7
Christian,2018,0.68
Christian,2019,0.66
Clark,2000,0.45
Clark,2001,0.54
Clark,2002,0.49
Clark,2003,0.5
Clark,2004,0.56
Clark,2005,0.58
Clark,2006,0.61
Clark,2007,0.57
Clark,2008,0.55
Clark,2009,0.59
Clark,2010,0.61
Clark,2011,0.6
Clark,2012,0.6
Clark,2013,0.6
Clark,2014,0.62
Clark,2015,0.62
Clark,2016,0.62
Clark,2017,0.6
Clark,2018,0.6
Clark,2019,0.58
Clay,2000,0.38
Clay,2001,0.39
Clay,2002,0.41
Clay,2003,0.41
Clay,2004,0.38
Clay,2005,0.36
Clay,2006,0.38
Clay,2007,0.38
Clay,2008,0.38
Clay,2009,0.41
Clay,2010,0.45
Clay,2011,0.45
Clay,2012,0.41
Clay,2013,0.39
Clay,2014,0.4
Clay,2015,0.4
Clay,2016,0.42
Clay,2017,0.41
Clay,2018,0.43
Clay,2019,0.41
Clinton,2000,0.43
Clinton,2001,0.5
Clinton,2002,0.51
Clinton,2003,0.6
Clinton,2004,0.57
Clinton,2005,0.58
Clinton,2006,0.58
Clinton,2007,0.55
Clinton,2008,0.53
Clinton,2009,0.54
Clinton,2010,0.57
Clinton,2011,0.56
Clinton,2012,0.56
Clinton,2013,0.54
Clinton,2014,0.5
Clinton,2015,0.54
Clinton,2016,0.61
Clinton,2017,0.62
Clinton,2018,0.61
Clinton,2019,0.59
Crittenden,2000,0.59
Crittenden,2001,0.6
Crittenden,2002,0.62
Crittenden,2003,0.65
Crittenden,2004,0.65
Crittenden,2005,0.67
Crittenden,2006,0.66
Crittenden,2007,0.67
Crittenden,2008,0.67
Crittenden,2009,0.71
Crittenden,2010,0.73
Crittenden,2011,0.73
Crittenden,2012,0.72
Crittenden,2013,0.69
Crittenden,2014,0.69
Crittenden,2015,0.68
Crittenden,2016,0.7
Crittenden,2017,0.67
Crittenden,2018,0.67
Crittenden,2019,0.66
Cumberland,2000,0.38
Cumberland,2001,0.43
Cumberland,2002,0.44
Cumberland,2003,0.5
Cumberland,2004,0.56
Cumberland,2005,0.59
Cumberland,2006,0.58
Cumberland,2007,0.59
Cumberland,2008,0.6
Cumberland,2009,0.6
Cumberland,2010,0.59
Cumberland,2011,0.56
Cumberland,2012,0.61
Cumberland,2013,0.65
Cumberland,2014,0.63
Cumberland,2015,0.64
Cumberland,2016,0.66
Cumberland,2017,0.64
Cumberland,2018,0.63
Cumberland,2019,0.62
Daviess,2000,0.48
Daviess,2001,0.46
Daviess,2002,0.48
Daviess,2003,0.51
Daviess,2004,0.51
Daviess,2005,0.52
Daviess,2006,0.55
Daviess,2007,0.58
Daviess,2008,0.6
Daviess,2009,0.59
Daviess,2010,0.59
Daviess,2011,0.58
Daviess,2012,0.59
Daviess,2013,0.6
Daviess,2014,0.62
Daviess,2015,0.64
Daviess,2016,0.64
Daviess,2017,0.63
Daviess,2018,0.61
Daviess,2019,0.62
Edmonson,2000,0.56
Edmonson,2001,0.53
Edmonson,2002,0.5
Edmonson,2003,0.51
Edmonson,2004,0.55
Edmonson,2005,0.55
Edmonson,2006,0.56
Edmonson,2007,0.57
Edmonson,2008,0.63
Edmonson,2009,0.63
Edmonson,2010,0.6
Edmonson,2011,0.53
Edmonson,2012,0.53
Edmonson,2013,0.55
Edmonson,2014,0.58
Edmonson,2015,0.59
Edmonson,2016,0.65
Edmonson,2017,0.63
Edmonson,2018,0.64
Edmonson,2019,0.61
Elliott,2000,0.44
Elliott,2001,0.45
Elliott,2002,0.41
Elliott,2003,0.34
Elliott,2004,0.4
Elliott,2005,0.43
Elliott,2006,0.46
Elliott,2007,0.52
Elliott,2008,0.52
Elliott,2009,0.56
Elliott,2010,0.54
Elliott,2011,0.56
Elliott,2012,0.48
Elliott,2013,0.49
Elliott,2014,0.49
Elliott,2015,0.52
Elliott,2016,0.53
Elliott,2017,0.59
Elliott,2018,0.53
Elliott,2019,0.52
Estill,2000,0.49
Estill,2001,0.54
Estill,2002,0.5
Estill,2003,0.5
Estill,2004,0.52
Estill,2005,0.54
Estill,2006,0.55
Estill,2007,0.59
Estill,2008,0.57
Estill,2009,0.55
Estill,2010,0.57
Estill,2011,0.55
Estill,2012,0.55
Estill,2013,0.54
Estill,2014,0.53
Estill,2015,0.53
Estill,2016,0.53
Estill,2017,0.5
Estill,2018,0.53
Estill,2019,0.56
Fayette,2000,0.51
Fayette,2001,0.5
Fayette,2002,0.48
Fayette,2003,0.49
Fayette,2004,0.49
Fayette,2005,0.49
Fayette,2006,0.53
Fayette,2007,0.53
Fayette,2008,0.53
Fayette,2009,0.52
Fayette,2010,0.53
Fayette,2011,0.53
Fayette,2012,0.53
Fayette,2013,0.51
Fayette,2014,0.52
Fayette,2015,0.53
Fayette,2016,0.53
Fayette,2017,0.52
Fayette,2018,0.52
Fayette,2019,0.54
Fleming,2000,0.56
Fleming,2001,0.58
Fleming,2002,0.56
Fleming,2003,0.55
Fleming,2004,0.54
Fleming,2005,0.54
Fleming,2006,0.54
Fleming,2007,0.54
Fleming,2008,0.54
Fleming,2009,0.53
Fleming,2010,0.5
Fleming,2011,0.52
Fleming,2012,0.54
Fleming,2013,0.58
Fleming,2014,0.57
Fleming,2015,0.6
Fleming,2016,0.62
Fleming,2017,0.66
Fleming,2018,0.63
Fleming,2019,0.6
Floyd,2000,0.42
Floyd,2001,0.43
Floyd,2002,0.43
Floyd,2003,0.46
Floyd,2004,0.51
Floyd,2005,0.54
Floyd,2006,0.56
Floyd,2007,0.58
Floyd,2008,0.57
Floyd,2009,0.59
Floyd,2010,0.59
Floyd,2011,0.57
Floyd,2012,0.56
Floyd,2013,0.56
Floyd,2014,0.54
Floyd,2015,0.55
Floyd,2016,0.55
Floyd,2017,0.56
Floyd,2018,0.57
Floyd,2019,0.58
Franklin,2000,0.53
Franklin,2001,0.57
Franklin,2002,0.56
Franklin,2003,0.57
Franklin,2004,0.6
Franklin,2005,0.6
Franklin,2006,0.61
Franklin,2007,0.58
Franklin,2008,0.58
Franklin,2009,0.56
Franklin,2010,0.57
Franklin,2011,0.55
Franklin,2012,0.57
Franklin,2013,0.56
Franklin,2014,0.56
Franklin,2015,0.56
Franklin,2016,0.56
Franklin,2017,0.56
Franklin,2018,0.56
Franklin,2019,0.58
Fulton,2000,0.34
Fulton,2001,0.4
Fulton,2002,0.43
Fulton,2003,0.43
Fulton,2004,0.43
Fulton,2005,0.42
Fulton,2006,0.45
Fulton,2007,0.48
Fulton,2008,0.5
Fulton,2009,0.52
Fulton,2010,0.5
Fulton,2011,0.5
Fulton,2012,0.5
Fulton,2013,0.49
Fulton,2014,0.53
Fulton,2015,0.54
Fulton,2016,0.6
Fulton,2017,0.59
Fulton,2018,0.58
Fulton,2019,0.6
Gallatin,2000,0.63
Gallatin,2001,0.63
Gallatin,2002,0.65
Gallatin,2003,0.61
Gallatin,2004,0.65
Gallatin,2005,0.61
Gallatin,2006,0.6
Gallatin,2007,0.63
Gallatin,2008,0.61
Gallatin,2009,0.57
Gallatin,2010,0.56
Gallatin,2011,0.58
Gallatin,2012,0.56
Gallatin,2013,0.55
Gallatin,2014,0.55
Gallatin,2015,0.58
Gallatin,2016,0.57
Gallatin,2017,0.56
Gallatin,2018,0.57
Gallatin,2019,0.59
Garrard,2000,0.54
Garrard,2001,0.59
Garrard,2002,0.53
Garrard,2003,0.52
Garrard,2004,0.58
Garrard,2005,0.61
Garrard,2006,0.6
Garrard,2007,0.61
Garrard,2008,0.62
Garrard,2009,0.65
Garrard,2010,0.63
Garrard,2011,0.61
Garrard,2012,0.6
Garrard,2013,0.58
Garrard,2014,0.55
Garrard,2015,0.53
Garrard,2016,0.52
Garrard,2017,0.55
Garrard,2018,0.52
Garrard,2019,0.52
Grant,2000,0.64
Grant,2001,0.62
Grant,2002,0.6
Grant,2003,0.63
Grant,2004,0.65
Grant,2005,0.64
Grant,2006,0.66
Grant,2007,0.66
Grant,2008,0.63
Grant,2009,0.62
Grant,2010,0.63
Grant,2011,0.61
Grant,2012,0.61
Grant,2013,0.62
Grant,2014,0.6
Grant,2015,0.62
Grant,2016,0.64
Grant,2017,0.61
Grant,2018,0.61
Grant,2019,0.61
Graves,2000,0.59
Graves,2001,0.58
Graves,2002,0.56
Graves,2003,0.57
Graves,2004,0.56
Graves,2005,0.52
Graves,2006,0.54
Graves,2007,0.54
Graves,2008,0.57
Graves,2009,0.57
Graves,2010,0.58
Graves,2011,0.58
Graves,2012,0.58
Graves,2013,0.57
Graves,2014,0.59
Graves,2015,0.58
Graves,2016,0.56
Graves,2017,0.55
Graves,2018,0.55
Graves,2019,0.55
Grayson,2000,0.61
Grayson,2001,0.58
Grayson,2002,0.55
Grayson,2003,0.58
Grayson,2004,0.59
Grayson,2005,0.6
Grayson,2006,0.61
Grayson,2007,0.63
Grayson,2008,0.62
Grayson,2009,0.63
Grayson,2010,0.63
Grayson,2011,0.63
Grayson,2012,0.66
Grayson,2013,0.68
Grayson,2014,0.68
Grayson,2015,0.7
Grayson,2016,0.7
Grayson,2017,0.66
Grayson,2018,0.61
Grayson,2019,0.6
Green,2000,0.56
Green,2001,0.55
Green,2002,0.54
Green,2003,0.61
Green,2004,0.63
Green,2005,0.65
Green,2006,0.68
Green,2007,0.66
Green,2008,0.69
Green,2009,0.69
Green,2010,0.68
Green,2011,0.66
Green,2012,0.68
Green,2013,0.7
Green,2014,0.72
Green,2015,0.73
Green,2016,0.75
Green,2017,0.72
