Location,TimeFrame,SMOKING_MOM_PCT
Greenup,2009-2011,0.243
Greenup,2010-2012,0.235
Greenup,2011-2013,0.229
Greenup,2012-2014,0.213
Greenup,2013-2015,0.222
Greenup,2014-2016,0.217
Greenup,2015-2017,0.242
Greenup,2016-2018,0.211
Hancock,2008-2010,0.276
Hancock,2009-2011,0.23
Hancock,2010-2012,0.217
Hancock,2011-2013,0.181
Hancock,2012-2014,0.188
Hancock,2013-2015,0.15
Hancock,2014-2016,0.128
Hancock,2015-2017,0.107
Hancock,2016-2018,0.106
Hardin,2008-2010,0.202
Hardin,2009-2011,0.167
Hardin,2010-2012,0.156
Hardin,2011-2013,0.153
Hardin,2012-2014,0.154
Hardin,2013-2015,0.155
Hardin,2014-2016,0.154
Hardin,2015-2017,0.177
Hardin,2016-2018,0.172
Harlan,2008-2010,0.408
Harlan,2009-2011,0.398
Harlan,2010-2012,0.381
Harlan,2011-2013,0.379
Harlan,2012-2014,0.356
Harlan,2013-2015,0.351
Harlan,2014-2016,0.338
Harlan,2015-2017,0.349
Harlan,2016-2018,0.35
Harrison,2008-2010,0.354
Harrison,2009-2011,0.33
Harrison,2010-2012,0.324
Harrison,2011-2013,0.324
Harrison,2012-2014,0.319
Harrison,2013-2015,0.308
Harrison,2014-2016,0.294
Harrison,2015-2017,0.293
Harrison,2016-2018,0.29
Hart,2008-2010,0.23
Hart,2009-2011,0.204
Hart,2010-2012,0.198
Hart,2011-2013,0.196
Hart,2012-2014,0.195
Hart,2013-2015,0.198
Hart,2014-2016,0.181
Hart,2015-2017,0.183
Hart,2016-2018,0.16
Henderson,2008-2010,0.213
Henderson,2009-2011,0.199
Henderson,2010-2012,0.195
Henderson,2011-2013,0.214
Henderson,2012-2014,0.215
Henderson,2013-2015,0.211
Henderson,2014-2016,0.212
Henderson,2015-2017,0.207
Henderson,2016-2018,0.203
Henry,2008-2010,0.308
Henry,2009-2011,0.265
Henry,2010-2012,0.223
Henry,2011-2013,0.217
Henry,2012-2014,0.244
Henry,2013-2015,0.254
Henry,2014-2016,0.231
Henry,2015-2017,0.228
Henry,2016-2018,0.225
Hickman,2008-2010,0.287
Hickman,2009-2011,0.204
Hickman,2010-2012,0.221
Hickman,2011-2013,0.217
Hickman,2012-2014,0.212
Hickman,2013-2015,0.178
Hickman,2014-2016,0.167
Hickman,2015-2017,0.195
Hickman,2016-2018,0.207
Hopkins,2008-2010,0.297
Hopkins,2009-2011,0.256
Hopkins,2010-2012,0.247
Hopkins,2011-2013,0.262
Hopkins,2012-2014,0.246
Hopkins,2013-2015,0.242
Hopkins,2014-2016,0.228
Hopkins,2015-2017,0.252
Hopkins,2016-2018,0.237
Jackson,2008-2010,0.427
Jackson,2009-2011,0.413
Jackson,2010-2012,0.375
Jackson,2011-2013,0.367
Jackson,2012-2014,0.36
Jackson,2013-2015,0.382
Jackson,2014-2016,0.367
Jackson,2015-2017,0.364
Jackson,2016-2018,0.341
Jefferson,2008-2010,0.154
Jefferson,2009-2011,0.131
Jefferson,2010-2012,0.124
Jefferson,2011-2013,0.121
Jefferson,2012-2014,0.114
Jefferson,2013-2015,0.105
Jefferson,2014-2016,0.1
Jefferson,2015-2017,0.106
Jefferson,2016-2018,0.102
Jessamine,2008-2010,0.231
Jessamine,2009-2011,0.208
Jessamine,2010-2012,0.209
Jessamine,2011-2013,0.216
Jessamine,2012-2014,0.216
Jessamine,2013-2015,0.212
Jessamine,2014-2016,0.196
Jessamine,2015-2017,0.207
Jessamine,2016-2018,0.184
Johnson,2008-2010,0.319
Johnson,2009-2011,0.278
Johnson,2010-2012,0.304
Johnson,2011-2013,0.298
Johnson,2012-2014,0.289
Johnson,2013-2015,0.256
Johnson,2014-2016,0.247
Johnson,2015-2017,0.237
Johnson,2016-2018,0.227
Kenton,2008-2010,0.252
Kenton,2009-2011,0.229
Kenton,2010-2012,0.206
Kenton,2011-2013,0.205
Kenton,2012-2014,0.202
Kenton,2013-2015,0.202
Kenton,2014-2016,0.195
Kenton,2015-2017,0.206
Kenton,2016-2018,0.197
Knott,2008-2010,0.362
Knott,2009-2011,0.34
