Location,TimeFrame,SINGLE_PARENT_PCT
Harlan,2008-2012,0.3
Harlan,2009-2013,0.3
Harlan,2010-2014,0.32
Harlan,2011-2015,0.28
Harlan,2012-2016,0.31
Harlan,2013-2017,0.33
Harrison,2007-2011,0.28
Harrison,2008-2012,0.36
Harrison,2009-2013,0.32
Harrison,2010-2014,0.34
Harrison,2011-2015,0.32
Harrison,2012-2016,0.3
Harrison,2013-2017,0.28
Hart,2007-2011,0.31
Hart,2008-2012,0.28
Hart,2009-2013,0.27
Hart,2010-2014,0.27
Hart,2011-2015,0.26
Hart,2012-2016,0.22
Hart,2013-2017,0.23
Henderson,2007-2011,0.29
Henderson,2008-2012,0.3
Henderson,2009-2013,0.32
Henderson,2010-2014,0.38
Henderson,2011-2015,0.39
Henderson,2012-2016,0.4
Henderson,2013-2017,0.4
Henry,2007-2011,0.42
Henry,2008-2012,0.39
Henry,2009-2013,0.33
Henry,2010-2014,0.37
Henry,2011-2015,0.35
Henry,2012-2016,0.32
Henry,2013-2017,0.35
Hickman,2007-2011,S
Hickman,2008-2012,0.32
Hickman,2009-2013,0.33
Hickman,2010-2014,0.3
Hickman,2011-2015,0.33
Hickman,2012-2016,0.36
Hickman,2013-2017,0.28
Hopkins,2007-2011,0.37
Hopkins,2008-2012,0.38
Hopkins,2009-2013,0.39
Hopkins,2010-2014,0.34
Hopkins,2011-2015,0.33
Hopkins,2012-2016,0.32
Hopkins,2013-2017,0.32
Jackson,2007-2011,0.38
Jackson,2008-2012,0.44
Jackson,2009-2013,0.37
Jackson,2010-2014,0.39
Jackson,2011-2015,0.32
Jackson,2012-2016,0.27
Jackson,2013-2017,0.22
Jefferson,2007-2011,0.39
Jefferson,2008-2012,0.4
Jefferson,2009-2013,0.4
Jefferson,2010-2014,0.4
Jefferson,2011-2015,0.39
Jefferson,2012-2016,0.38
Jefferson,2013-2017,0.38
Jessamine,2007-2011,0.29
Jessamine,2008-2012,0.28
Jessamine,2009-2013,0.27
Jessamine,2010-2014,0.28
Jessamine,2011-2015,0.34
Jessamine,2012-2016,0.36
Jessamine,2013-2017,0.36
Johnson,2007-2011,0.22
Johnson,2008-2012,0.25
Johnson,2009-2013,0.27
Johnson,2010-2014,0.24
Johnson,2011-2015,0.24
Johnson,2012-2016,0.25
Johnson,2013-2017,0.21
Kenton,2007-2011,0.3
Kenton,2008-2012,0.33
Kenton,2009-2013,0.34
Kenton,2010-2014,0.35
Kenton,2011-2015,0.37
Kenton,2012-2016,0.35
Kenton,2013-2017,0.34
Knott,2007-2011,0.35
Knott,2008-2012,0.28
Knott,2009-2013,0.3
Knott,2010-2014,0.32
Knott,2011-2015,0.35
Knott,2012-2016,0.34
Knott,2013-2017,0.33
Knox,2007-2011,0.36
Knox,2008-2012,0.32
Knox,2009-2013,0.33
Knox,2010-2014,0.34
Knox,2011-2015,0.39
Knox,2012-2016,0.4
Knox,2013-2017,0.4
Larue,2007-2011,0.27
Larue,2008-2012,0.28
Larue,2009-2013,0.36
Larue,2010-2014,0.4
Larue,2011-2015,0.41
Larue,2012-2016,0.36
Larue,2013-2017,0.39
Laurel,2007-2011,0.32
Laurel,2008-2012,0.3
Laurel,2009-2013,0.31
Laurel,2010-2014,0.34
Laurel,2011-2015,0.31
Laurel,2012-2016,0.3
Laurel,2013-2017,0.36
Lawrence,2007-2011,0.3
Lawrence,2008-2012,0.27
Lawrence,2009-2013,0.25
Lawrence,2010-2014,0.19
Lawrence,2011-2015,0.19
Lawrence,2012-2016,0.17
Lawrence,2013-2017,0.16
Lee,2007-2011,0.32
Lee,2008-2012,0.33
Lee,2009-2013,0.26
Lee,2010-2014,0.31
Lee,2011-2015,0.26
Lee,2012-2016,0.37
Lee,2013-2017,0.44
Leslie,2007-2011,0.19
