Location,TimeFrame,SNAP_CNT
Fleming,2011,1091
Fleming,2012,1070
Fleming,2013,1046
Fleming,2014,978
Fleming,2015,956
Fleming,2016,905
Fleming,2017,950
Fleming,2018,941
Floyd,2000,4187
Floyd,2005,4224
Floyd,2006,4172
Floyd,2007,4211
Floyd,2008,4082
Floyd,2009,4174
Floyd,2010,4421
Floyd,2011,4493
Floyd,2012,4527
Floyd,2013,4645
Floyd,2014,4435
Floyd,2015,4224
Floyd,2016,4025
Floyd,2017,4233
Floyd,2018,4021
Franklin,2000,1085
Franklin,2005,2004
Franklin,2006,2078
Franklin,2007,2239
Franklin,2008,2391
Franklin,2009,2789
Franklin,2010,2985
Franklin,2011,3289
Franklin,2012,3315
Franklin,2013,3333
Franklin,2014,3158
Franklin,2015,2931
Franklin,2016,2604
Franklin,2017,2885
Franklin,2018,2780
Fulton,2000,622
Fulton,2005,681
Fulton,2006,642
Fulton,2007,630
Fulton,2008,651
Fulton,2009,618
Fulton,2010,665
Fulton,2011,704
Fulton,2012,704
Fulton,2013,674
Fulton,2014,636
Fulton,2015,594
Fulton,2016,564
Fulton,2017,618
Fulton,2018,611
Gallatin,2000,333
Gallatin,2005,487
Gallatin,2006,506
Gallatin,2007,521
Gallatin,2008,595
Gallatin,2009,719
Gallatin,2010,751
Gallatin,2011,800
Gallatin,2012,778
Gallatin,2013,784
Gallatin,2014,718
Gallatin,2015,642
Gallatin,2016,485
Gallatin,2017,511
Gallatin,2018,447
Garrard,2000,529
Garrard,2005,832
Garrard,2006,882
Garrard,2007,914
Garrard,2008,900
Garrard,2009,1031
Garrard,2010,1111
Garrard,2011,1136
Garrard,2012,1211
Garrard,2013,1150
Garrard,2014,1019
Garrard,2015,969
Garrard,2016,962
Garrard,2017,1117
Garrard,2018,1050
Grant,2000,800
Grant,2005,1672
Grant,2006,1822
Grant,2007,1866
Grant,2008,1954
Grant,2009,2266
Grant,2010,2317
Grant,2011,2364
Grant,2012,2333
Grant,2013,2252
Grant,2014,1992
Grant,2015,1754
Grant,2016,1596
Grant,2017,1689
Grant,2018,1561
Graves,2000,1308
Graves,2005,2147
Graves,2006,2168
Graves,2007,2126
Graves,2008,2173
Graves,2009,2342
Graves,2010,2523
Graves,2011,2671
Graves,2012,2714
Graves,2013,2804
Graves,2014,2682
Graves,2015,2498
Graves,2016,2332
Graves,2017,2593
Graves,2018,2511
Grayson,2000,1015
Grayson,2005,1631
Grayson,2006,1623
Grayson,2007,1642
Grayson,2008,1729
Grayson,2009,1933
Grayson,2010,2114
Grayson,2011,2180
Grayson,2012,2129
Grayson,2013,2114
Grayson,2014,1864
Grayson,2015,1710
Grayson,2016,1537
Grayson,2017,1683
Grayson,2018,1588
Green,2000,434
Green,2005,544
Green,2006,543
Green,2007,609
Green,2008,667
Green,2009,730
Green,2010,802
Green,2011,837
Green,2012,824
Green,2013,768
Green,2014,682
Green,2015,640
Green,2016,578
Green,2017,622
Green,2018,583
Greenup,2000,1594
Greenup,2005,2208
Greenup,2006,2127
Greenup,2007,2137
Greenup,2008,2077
Greenup,2009,2209
Greenup,2010,2287
Greenup,2011,2421
Greenup,2012,2384
Greenup,2013,2459
Greenup,2014,2307
Greenup,2015,2188
Greenup,2016,2075
Greenup,2017,2204
Greenup,2018,2064
Hancock,2000,219
Hancock,2005,384
Hancock,2006,394
Hancock,2007,397
Hancock,2008,415
Hancock,2009,502
Hancock,2010,504
Hancock,2011,504
Hancock,2012,494
Hancock,2013,451
Hancock,2014,405
Hancock,2015,386
Hancock,2016,383
Hancock,2017,402
Hancock,2018,389
Hardin,2000,2462
Hardin,2005,4253
Hardin,2006,4353
Hardin,2007,4562
Hardin,2008,4828
Hardin,2009,5402
Hardin,2010,5680
Hardin,2011,5964
Hardin,2012,5997
Hardin,2013,5968
Hardin,2014,5578
Hardin,2015,5251
Hardin,2016,5003
Hardin,2017,5369
Hardin,2018,5012
Harlan,2000,3594
Harlan,2005,3304
Harlan,2006,3276
Harlan,2007,3305
Harlan,2008,3143
Harlan,2009,3122
Harlan,2010,3118
Harlan,2011,3233
Harlan,2012,3413
Harlan,2013,3675
Harlan,2014,3556
Harlan,2015,3500
Harlan,2016,3297
Harlan,2017,3456
Harlan,2018,3299
Harrison,2000,502
Harrison,2005,882
Harrison,2006,918
Harrison,2007,1061
Harrison,2008,1100
Harrison,2009,1294
Harrison,2010,1377
Harrison,2011,1368
Harrison,2012,1280
Harrison,2013,1219
Harrison,2014,1157
Harrison,2015,1043
Harrison,2016,1004
Harrison,2017,1088
Harrison,2018,1043
Hart,2000,885
Hart,2005,1157
Hart,2006,1196
Hart,2007,1189
Hart,2008,1184
Hart,2009,1274
Hart,2010,1333
Hart,2011,1397
Hart,2012,1439
Hart,2013,1445
Hart,2014,1363
Hart,2015,1205
Hart,2016,1075
Hart,2017,1155
Hart,2018,1087
Henderson,2000,1763
Henderson,2005,2337
Henderson,2006,2446
Henderson,2007,2534
Henderson,2008,2567
Henderson,2009,2897
Henderson,2010,3176
Henderson,2011,3332
Henderson,2012,3415
Henderson,2013,3448
Henderson,2014,3229
Henderson,2015,2991
Henderson,2016,2740
Henderson,2017,2937
Henderson,2018,2807
Henry,2000,524
Henry,2005,776
Henry,2006,811
Henry,2007,807
Henry,2008,771
Henry,2009,913
Henry,2010,1003
Henry,2011,1083
Henry,2012,1050
Henry,2013,1068
Henry,2014,1015
