Location,TimeFrame,CHILD_DEEP_POV_PCT
Fleming,2007-2011,0.08
Fleming,2008-2012,0.08
Fleming,2009-2013,0.13
Fleming,2010-2014,0.11
Fleming,2011-2015,0.15
Fleming,2012-2016,0.15
Fleming,2013-2017,0.13
Fleming,2014-2018,0.11
Floyd,2005-2009,0.18
Floyd,2006-2010,0.25
Floyd,2007-2011,0.24
Floyd,2008-2012,0.24
Floyd,2009-2013,0.22
Floyd,2010-2014,0.24
Floyd,2011-2015,0.25
Floyd,2012-2016,0.25
Floyd,2013-2017,0.25
Floyd,2014-2018,0.28
Franklin,2005-2009,0.08
Franklin,2006-2010,0.1
Franklin,2007-2011,0.1
Franklin,2008-2012,0.12
Franklin,2009-2013,0.13
Franklin,2010-2014,0.11
Franklin,2011-2015,0.13
Franklin,2012-2016,0.14
Franklin,2013-2017,0.1
Franklin,2014-2018,0.09
Fulton,2005-2009,0.36
Fulton,2006-2010,0.37
Fulton,2007-2011,0.35
Fulton,2008-2012,0.31
Fulton,2009-2013,0.2
Fulton,2010-2014,0.16
Fulton,2011-2015,0.17
Fulton,2012-2016,0.18
Fulton,2013-2017,0.18
Fulton,2014-2018,0.25
Gallatin,2005-2009,0.21
Gallatin,2006-2010,0.18
Gallatin,2007-2011,0.14
Gallatin,2008-2012,0.17
Gallatin,2009-2013,0.19
Gallatin,2010-2014,0.09
Gallatin,2011-2015,0.08
Gallatin,2012-2016,S
Gallatin,2013-2017,0.07
Gallatin,2014-2018,0.09
Garrard,2005-2009,0.07
Garrard,2006-2010,0.07
Garrard,2007-2011,0.1
Garrard,2008-2012,0.1
Garrard,2009-2013,0.1
Garrard,2010-2014,0.11
Garrard,2011-2015,0.11
Garrard,2012-2016,0.1
Garrard,2013-2017,0.12
Garrard,2014-2018,0.13
Grant,2005-2009,0.1
Grant,2006-2010,0.1
Grant,2007-2011,0.08
Grant,2008-2012,0.08
Grant,2009-2013,0.1
Grant,2010-2014,0.15
Grant,2011-2015,0.2
Grant,2012-2016,0.2
Grant,2013-2017,0.23
Grant,2014-2018,0.2
Graves,2005-2009,0.1
Graves,2006-2010,0.12
Graves,2007-2011,0.13
Graves,2008-2012,0.11
Graves,2009-2013,0.11
Graves,2010-2014,0.14
Graves,2011-2015,0.12
Graves,2012-2016,0.11
Graves,2013-2017,0.11
Graves,2014-2018,0.11
Grayson,2005-2009,0.21
Grayson,2006-2010,0.16
Grayson,2007-2011,0.17
Grayson,2008-2012,0.16
Grayson,2009-2013,0.18
Grayson,2010-2014,0.15
Grayson,2011-2015,0.13
Grayson,2012-2016,0.1
Grayson,2013-2017,0.09
Grayson,2014-2018,0.08
Green,2005-2009,0.1
Green,2006-2010,0.12
Green,2007-2011,0.16
Green,2008-2012,0.17
Green,2009-2013,0.15
Green,2010-2014,0.13
Green,2011-2015,0.09
Green,2012-2016,0.07
Green,2013-2017,S
Green,2014-2018,S
Greenup,2005-2009,0.12
Greenup,2006-2010,0.13
Greenup,2007-2011,0.12
Greenup,2008-2012,0.12
Greenup,2009-2013,0.12
Greenup,2010-2014,0.13
Greenup,2011-2015,0.13
Greenup,2012-2016,0.16
Greenup,2013-2017,0.13
Greenup,2014-2018,0.11
Hancock,2005-2009,0.13
Hancock,2006-2010,0.11
Hancock,2007-2011,0.09
Hancock,2008-2012,0.07
