Location,TimeFrame,FOSTER_KIDS_PCT
Henderson,2014,0.8
Henderson,2015,0.71
Henderson,2016,0.76
Henderson,2017,0.67
Henderson,2018,0.55
Henry,2003,0.4
Henry,2006,0.48
Henry,2007,0.58
Henry,2008,0.73
Henry,2009,0.52
Henry,2010,0.55
Henry,2011,0.36
Henry,2012,0.38
Henry,2013,0.35
Henry,2014,0.33
Henry,2015,0.48
Henry,2016,0.44
Henry,2017,0.46
Henry,2018,0.62
Hickman,2003,0.38
Hickman,2006,0.5
Hickman,2007,0.63
Hickman,2008,0.82
Hickman,2009,**
Hickman,2010,**
Hickman,2011,**
Hickman,2012,**
Hickman,2013,**
Hickman,2014,0
Hickman,2015,0
Hickman,2016,S
Hickman,2017,0
Hickman,2018,S
Hopkins,2003,0.7
Hopkins,2006,0.44
Hopkins,2007,0.45
Hopkins,2008,0.54
Hopkins,2009,0.67
Hopkins,2010,0.59
Hopkins,2011,0.52
Hopkins,2012,0.64
Hopkins,2013,0.59
Hopkins,2014,0.7
Hopkins,2015,0.6
Hopkins,2016,0.57
Hopkins,2017,0.67
Hopkins,2018,0.55
Jackson,2003,0.38
Jackson,2006,0.63
Jackson,2007,0.62
Jackson,2008,0.63
Jackson,2009,0.68
Jackson,2010,0.65
Jackson,2011,0.47
Jackson,2012,0.55
Jackson,2013,0.8
Jackson,2014,0.73
Jackson,2015,0.68
Jackson,2016,0.63
Jackson,2017,0.57
Jackson,2018,0.55
Jefferson,2003,0.7
Jefferson,2006,0.72
Jefferson,2007,0.73
Jefferson,2008,0.77
Jefferson,2009,0.81
Jefferson,2010,0.86
Jefferson,2011,0.84
Jefferson,2012,0.81
Jefferson,2013,0.78
Jefferson,2014,0.73
Jefferson,2015,0.74
Jefferson,2016,0.71
Jefferson,2017,0.69
Jefferson,2018,0.61
Jessamine,2003,0.74
Jessamine,2006,0.65
Jessamine,2007,0.52
Jessamine,2008,0.67
Jessamine,2009,0.73
Jessamine,2010,0.87
Jessamine,2011,0.79
Jessamine,2012,0.77
Jessamine,2013,0.78
Jessamine,2014,0.78
Jessamine,2015,0.77
Jessamine,2016,0.84
Jessamine,2017,0.72
Jessamine,2018,0.6
Johnson,2003,0.69
Johnson,2006,0.82
Johnson,2007,0.59
Johnson,2008,0.82
Johnson,2009,0.82
Johnson,2010,0.89
Johnson,2011,0.9
Johnson,2012,0.92
Johnson,2013,0.93
Johnson,2014,0.92
Johnson,2015,0.93
Johnson,2016,0.91
Johnson,2017,0.84
Johnson,2018,0.76
Kenton,2003,0.53
Kenton,2006,0.67
Kenton,2007,0.59
Kenton,2008,0.66
Kenton,2009,0.67
Kenton,2010,0.81
Kenton,2011,0.71
Kenton,2012,0.63
Kenton,2013,0.69
Kenton,2014,0.63
Kenton,2015,0.63
Kenton,2016,0.64
Kenton,2017,0.58
Kenton,2018,0.52
Knott,2003,0.71
Knott,2006,0.73
Knott,2007,0.67
Knott,2008,0.69
Knott,2009,0.62
Knott,2010,0.71
Knott,2011,0.92
Knott,2012,0.93
Knott,2013,0.97
Knott,2014,0.96
Knott,2015,0.92
Knott,2016,0.88
Knott,2017,0.46
Knott,2018,0.59
Knox,2003,0.48
Knox,2006,0.56
Knox,2007,0.58
Knox,2008,0.55
Knox,2009,0.45
Knox,2010,0.56
Knox,2011,0.29
Knox,2012,0.45
Knox,2013,0.68
Knox,2014,0.6
Knox,2015,0.68
Knox,2016,0.72
Knox,2017,0.67
Knox,2018,0.56
Larue,2003,0.82
Larue,2006,0.76
Larue,2007,0.63
Larue,2008,0.68
Larue,2009,0.86
Larue,2010,0.91
Larue,2011,0.83
Larue,2012,0.87
Larue,2013,0.79
Larue,2014,0.6
Larue,2015,0.63
Larue,2016,0.64
Larue,2017,0.7
Larue,2018,0.49
Laurel,2003,0.55
Laurel,2006,0.59
Laurel,2007,0.56
Laurel,2008,0.54
Laurel,2009,0.55
Laurel,2010,0.42
Laurel,2011,0.62
Laurel,2012,0.69
Laurel,2013,0.67
Laurel,2014,0.56
Laurel,2015,0.64
Laurel,2016,0.65
Laurel,2017,0.61
Laurel,2018,0.63
Lawrence,2003,0.65
Lawrence,2006,0.7
Lawrence,2007,0.71
Lawrence,2008,0.65
Lawrence,2009,0.69
Lawrence,2010,0.85
Lawrence,2011,0.7
Lawrence,2012,0.88
Lawrence,2013,0.85
Lawrence,2014,0.88
Lawrence,2015,0.73
Lawrence,2016,0.74
Lawrence,2017,0.71
Lawrence,2018,0.7
Lee,2003,0.3
Lee,2006,0.56
Lee,2007,0.35
Lee,2008,0.33
Lee,2009,0.8
Lee,2010,0.8
Lee,2011,0.53
Lee,2012,0.8
Lee,2013,0.5
Lee,2014,0.75
Lee,2015,0.5
Lee,2016,S
Lee,2017,0.94
Lee,2018,0.77
Leslie,2003,0.34
Leslie,2006,0.44
Leslie,2007,0.41
Leslie,2008,0.67
Leslie,2009,0.71
Leslie,2010,0.76
Leslie,2011,0.68
Leslie,2012,0.87
Leslie,2013,0.71
Leslie,2014,0.83
Leslie,2015,0.73
Leslie,2016,0.76
Leslie,2017,0.82
Leslie,2018,0.6
Letcher,2003,0.92
Letcher,2006,0.78
Letcher,2007,0.89
Letcher,2008,0.91
Letcher,2009,0.93
Letcher,2010,0.94
Letcher,2011,0.85
Letcher,2012,0.93
Letcher,2013,0.91
Letcher,2014,0.8
Letcher,2015,0.78
Letcher,2016,0.83
Letcher,2017,0.79
Letcher,2018,0.87
Lewis,2003,0.78
Lewis,2006,0.75
Lewis,2007,0.63
Lewis,2008,0.37
Lewis,2009,0.44
Lewis,2010,0.61
Lewis,2011,0.55
Lewis,2012,0.73
Lewis,2013,0.38
Lewis,2014,S
Lewis,2015,S
Lewis,2016,0.8
Lewis,2017,0.86
Lewis,2018,0.74
Lincoln,2003,0.42
Lincoln,2006,0.61
Lincoln,2007,0.61
Lincoln,2008,0.75
Lincoln,2009,0.7
Lincoln,2010,0.61
Lincoln,2011,0.52
Lincoln,2012,0.72
Lincoln,2013,0.81
Lincoln,2014,0.63
Lincoln,2015,0.74
Lincoln,2016,0.81
Lincoln,2017,0.7
Lincoln,2018,0.54
Livingston,2003,0.55
Livingston,2006,0.33
Livingston,2007,0.62
Livingston,2008,0.1
Livingston,2009,0.33
Livingston,2010,0.83
Livingston,2011,0.5
Livingston,2012,0.56
Livingston,2013,0.44
Livingston,2014,S
Livingston,2015,0
Livingston,2016,S
Livingston,2017,0.47
Livingston,2018,0.41
Logan,2003,0.85
Logan,2006,0.69
Logan,2007,0.72
Logan,2008,0.84
Logan,2009,0.81
Logan,2010,0.81
Logan,2011,0.78
Logan,2012,0.89
