Location,TimeFrame,MEDIAN_HOUSEHOLD_INCOME
Barren,2014,37666
Bath,2014,34126
Bell,2014,24868
Boone,2014,66939
Bourbon,2014,42812
Boyd,2014,40224
Boyle,2014,41538
Bracken,2014,41910
Breathitt,2014,28647
Breckinridge,2014,41547
Bullitt,2014,54924
Butler,2014,35219
Caldwell,2014,42640
Calloway,2014,37705
Campbell,2014,52349
Carlisle,2014,40701
Carroll,2014,43615
Carter,2014,34991
Casey,2014,29344
Christian,2014,36736
Clark,2014,49012
Clay,2014,25215
Clinton,2014,28341
Crittenden,2014,38338
Cumberland,2014,29067
Daviess,2014,43390
Edmonson,2014,38544
Elliott,2014,30556
Estill,2014,30333
Fayette,2014,48552
Fleming,2014,35878
Floyd,2014,30127
Franklin,2014,49400
Fulton,2014,30671
Gallatin,2014,45483
Garrard,2014,43647
Grant,2014,46226
Graves,2014,39247
Grayson,2014,35726
Green,2014,33640
Greenup,2014,42452
Hancock,2014,50358
Hardin,2014,50407
Harlan,2014,26351
Harrison,2014,41406
Hart,2014,38038
Henderson,2014,43040
Henry,2014,43799
Hickman,2014,41588
Hopkins,2014,42477
Jackson,2014,29090
Jefferson,2014,48264
Jessamine,2014,51227
Johnson,2014,34271
Kenton,2014,54728
Knott,2014,27709
Knox,2014,26048
Larue,2014,40312
Laurel,2014,34678
Lawrence,2014,32835
Lee,2014,25473
Leslie,2014,27777
Letcher,2014,28574
Lewis,2014,30217
Lincoln,2014,35368
Livingston,2014,42892
Logan,2014,41150
Lyon,2014,43067
McCracken,2014,41216
McCreary,2014,24265
McLean,2014,42288
Madison,2014,44358
Magoffin,2014,29421
Marion,2014,39089
Marshall,2014,45596
Martin,2014,27484
Mason,2014,40260
Meade,2014,52377
Menifee,2014,30828
Mercer,2014,43945
Metcalfe,2014,30460
Monroe,2014,30172
Montgomery,2014,41139
Morgan,2014,30872
Muhlenberg,2014,38916
Nelson,2014,54540
Nicholas,2014,37061
Ohio,2014,38261
Oldham,2014,92097
Owen,2014,43626
Owsley,2014,23047
Pendleton,2014,47023
Perry,2014,31265
Pike,2014,32666
Powell,2014,32783
Pulaski,2014,32767
Robertson,2014,37281
Rockcastle,2014,33789
Rowan,2014,37287
Russell,2014,33623
Scott,2014,61989
Shelby,2014,57447
Simpson,2014,45269
Spencer,2014,67437
Taylor,2014,34633
Todd,2014,40002
Trigg,2014,44676
Trimble,2014,46708
Union,2014,44119
Warren,2014,48925
Washington,2014,39983
Wayne,2014,30619
Webster,2014,43024
Whitley,2014,31086
Wolfe,2014,25768
Woodford,2014,57067
Adair,2015,32007
Allen,2015,42287
Anderson,2015,55523
Ballard,2015,44352
Barren,2015,40017
Bath,2015,35143
Bell,2015,23968
Boone,2015,68804
Bourbon,2015,46370
Boyd,2015,43406
Boyle,2015,40459
Bracken,2015,44846
Breathitt,2015,28196
Breckinridge,2015,42347
Bullitt,2015,54755
